Complexity,Loss,Equation
1,0.9309091,"x0"
4,0.7627989,"x0 - square(x1)"
5,0.59111774,"x0 - exp(sqrt(x1))"
6,0.43028018,"49.808186 - x1"
7,0.42491353,"2484.4558 - square(x1)"
8,0.19272727,"24873.484 - (x1 * x0)"
9,0.16364844,"1110.9176 - (sqrt(x0) * x1)"
11,0.1587179,"1055.701 - ((x1 * sqrt(x0)) - x1)"
13,0.15854394,"(x1 + (1056.3823 - (sqrt(x0) * x1))) * x1"
14,0.15852295,"((1056.5178 - (sqrt(x0) * x1)) + x1) * sqrt(x0)"
15,0.15781818,"(x0 * (1056.6245 - ((x1 * sqrt(x0)) - x1))) - x1"
16,0.15709695,"x1 + (1121.9202 - ((x1 + 3.9546506) * sqrt(x0)))"
17,0.15563637,"((x1 * ((x1 + 1056.7943) - (x1 * sqrt(x0)))) - x0) - x0"
21,0.15385798,"x0 * (((inv(x0 * 0.019147413) - 0.4238698) * x1) - -14.191966)"
22,0.15345454,"square(x0) * ((x1 * (inv(x0 * 0.019147292) - 0.42387384)) - -14.191484)"
28,0.15054545,"x0 + (square(square(square(x0 / x1))) / (((inv(x0 * 0.01913797) - 0.42387316) * x1) - -14.191484))"
30,0.14981818,"x0 + ((x1 + square(square(square(x0 / x1)))) / (((inv(x0 * 0.01913797) - 0.42387316) * x1) - -14.191484))"
31,0.14909092,"x1 + (square(x1 - square(x0 - (x1 + x1))) / (((inv(x0 * 0.019146308) - 0.42387363) * x1) - -14.191484))"
33,0.14897338,"square(square(square((x1 + (x0 / -1.7770916)) + x1))) * ((x1 * (inv(x0 * 0.019147292) - 0.42387384)) - -14.191484)"
34,0.14837845,"sqrt(x1) + (((x1 * (inv(0.019147292 * x0) - 0.42387384)) - -14.191484) * square((x1 + (x0 / -1.7764462)) + x1))"
35,0.14472727,"((square((x0 / -1.7770875) + (x1 + x1)) * x0) - x0) * (((inv(x0 * 0.019128405) - 0.42386985) * x1) - -14.187745)"
36,0.14370121,"((x0 * square(square(x1 + (x1 + (x0 / -1.7770916))))) - x1) / ((x1 * (inv(x0 * 0.019147292) - 0.42387384)) - -14.191484)"
39,0.14327273,"((((x1 * square((x1 + x1) + (x0 / -1.7770916))) - x1) / (((inv(x0 * 0.019147292) - 0.42387384) * x1) - -14.191484)) * x1) + x0"
40,0.14298078,"((((x0 * square(square(x1 + (x1 + (x0 / -1.7770916))))) - x1) / ((x1 * (inv(x0 * 0.019147292) - 0.42387384)) - -14.191484)) * x1) + x1"
42,0.14254628,"((x0 + (((x0 * square(square((x1 + x1) + (x0 / -1.7770916)))) - x1) * x1)) / ((x1 * (inv(x0 * 0.019147292) - 0.42387384)) - -14.191484)) + x1"
44,0.14254546,"(sqrt(x0) + ((square(x1) / (((inv(x0 * 0.019147292) - 0.42387384) * x1) - -14.191484)) * (square(square((x1 + x1) + (x0 / -1.7770916))) - (x1 / x0)))) * x1"
45,0.14180596,"((square(x1 + (x1 - x0)) / (((inv(x0 * 0.019146308) - 0.42387363) * x1) - -14.191484)) + x1) * (square(square(((x0 / -1.7770911) + x1) + x1)) - (x1 / x0))"
46,0.14109091,"(((x1 + square(x0 - (x1 + x1))) / (((inv(x0 * 0.019146308) - 0.42387363) * x1) - -14.191484)) + x1) * (square((x0 / -1.7770911) + (x1 + x1)) - (x0 / x0))"
47,0.14035262,"(((x1 + square(x0 - (x1 + x1))) / (((inv(x0 * 0.019146308) - 0.42387363) * x1) - -14.191484)) + x1) * (square(square(((x0 / -1.7770911) + x1) + x1)) - (x1 / x0))"
48,0.13966876,"x0 + ((((square(x0 - (x1 + x1)) + x1) / ((x1 * (inv(x0 * 0.019137885) - 0.4238731)) - -14.191484)) + x1) * (square((x1 + (x0 / -1.7770896)) + x1) - (x1 / x1)))"
49,0.13962644,"(square(square((x1 + x1) + (x0 / -1.7770896))) - (x1 / x0)) * ((((x1 + x1) + square(x0 - (x1 + x1))) / (((inv(x0 * 0.01913797) - 0.42387316) * x1) - -14.191484)) + x1)"
50,0.13909617,"x0 + ((((square(x0 - (x1 + x1)) + (x1 + x1)) / ((x1 * (inv(x0 * 0.019137885) - 0.4238731)) - -14.191484)) + x1) * (square((x1 + (x0 / -1.7770896)) + x1) - (x1 / x1)))"
