Complexity,Loss,Equation
1,0.9410909,"x0"
3,0.8343999,"x0 - x1"
4,0.5564904,"x0 - square(x4)"
5,0.43829137,"x0 - exp(sqrt(x4))"
6,0.24100842,"(x0 / sqrt(x1)) - x4"
8,0.19345455,"25625.754 - (x1 * x4)"
9,0.16430911,"square(-1111.7487 / x4) - x1"
11,0.16397391,"square((-1111.677 / x4) - x2) - x1"
12,0.1609176,"square(exp(x2) * (-1100.8718 / x4)) - x1"
13,0.15199365,"(1240.418 / sqrt(x1)) - (x4 + sqrt(inv(x2)))"
15,0.14618182,"x0 * (((1237.1538 / sqrt(x1)) - x4) - sqrt(inv(x2)))"
17,0.14545454,"(((1263.8229 / sqrt(x1)) - (inv(sqrt(x2)) + x4)) * x1) - x1"
18,0.1185378,"(1446.2494 / sqrt(x1)) + ((-0.5249527 / (x2 + x3)) - x4)"
20,0.112,"(((1488.9115 / sqrt(x1)) + (-0.5517377 / (x3 + x2))) - x4) * x0"
22,0.10909091,"(((-0.54878 / (x2 + x3)) + ((1498.5757 / sqrt(x1)) - x4)) * x0) - x1"
27,0.104,"(square(x4 + (x1 - x0)) * (((-0.5628899 / (x3 + x2)) - x4) + (1498.5746 / sqrt(x1)))) - x1"
30,0.10194205,"x0 / ((((1498.5746 / sqrt(x1)) + (-0.5628899 / (x2 + x3))) - x4) - (((sqrt(x3) * square(x3)) * x1) * x4))"
31,0.10181818,"((1498.5746 / sqrt(x1)) + (((-0.5628899 / (x2 + x3)) - x4) - (((square(x3) * x1) * x4) * sqrt(x3)))) * square(x1)"
34,0.10181795,"((-0.5628899 / (x3 + x2)) + (((1498.5746 / sqrt(x1)) - x4) - (square(x3) * ((x1 * sqrt(x3)) * x4)))) * square(x1 - inv(x3))"
35,0.10109091,"(((1498.5747 / sqrt(x1)) + (((-0.5623371 / (x3 + x2)) - x4) - ((x1 * sqrt(x4)) * square(x3)))) * square(x1 - (x0 - x4))) - x0"
37,0.09381818,"(((((1498.5747 / sqrt(x1)) + (-0.5623371 / (x3 + x2))) - x4) - (sqrt(x3) * ((square(x3) * x1) * x4))) * square(x1 - (x0 - x4))) - x0"
47,0.09306244,"(((1498.5746 / sqrt(x1)) + (((-0.5628899 / (x3 + x2)) - x4) - (square(x3) * ((sqrt(x3) * x1) * x4)))) * square((0.30427837 * ((1.8921291 * x4) - x0)) + x1)) - x4"
48,0.09236552,"(square((((x4 * 1.892126) - x0) * 0.3044055) + x1) * (((1498.5746 / sqrt(x1)) + ((-0.5628751 / (x3 + x2)) - x4)) - (x1 * (square(x3) * (sqrt(x3) * x4))))) - sqrt(x0)"
49,0.09236363,"((square((x1 / 0.3044106) + ((x4 * 1.8921145) - x0)) * (((1498.5746 / sqrt(x1)) + ((-0.5629002 / (x2 + x3)) - x4)) - ((square(x3) * (sqrt(x3) * x1)) * x4))) - x4) - x1"
50,0.091636375,"((square(x1 + (((x4 * 1.8921291) - x0) * 0.30437627)) * ((1498.5746 / sqrt(x1)) + (((-0.5628899 / (x3 + x2)) - x4) - (((x1 * square(x3)) * sqrt(x3)) * x4)))) - x4) + sqrt(x0)"
