Complexity,Loss,Equation
1,0.9301818,"x3"
3,0.9277768,"x3 * x1"
4,0.6919494,"inv(x0) - x2"
5,0.47903,"x3 - exp(sqrt(x2))"
6,0.4010387,"48.617443 - x2"
8,0.39490908,"(48.384018 - x2) * x3"
9,0.38830665,"(x3 * 5.3692393) - square(x2)"
10,0.3840031,"x3 + ((39.251915 - x2) / x0)"
12,0.38176233,"(x3 + ((40.19675 - x2) / x0)) - x2"
13,0.37507153,"((40.26154 - x2) / x0) + 363.06467"
15,0.37454545,"(((40.222622 - x2) / x0) + 363.6617) * x3"
20,0.37163636,"((378.398 + ((40.06726 - x2) / x0)) / x0) + exp(x1 / x0)"
22,0.37018183,"(((378.398 + ((40.06726 - x2) / x0)) / x0) + exp(x1 / x0)) - x3"
30,0.36946648,"(375.67615 + ((40.06726 - x2) / x0)) + (x1 / (inv(-0.14602774 * (x2 + 375.67615)) + x0))"
31,0.36727273,"((378.398 + ((40.06726 - x2) / x0)) / x0) + (inv(inv(x3) + (x1 * -0.9614124)) + exp(x1 / x0))"
33,0.3650909,"(((40.06726 - x2) / x0) + 378.398) / (inv((x2 * -39.338978) - ((40.227016 / x0) - square(x2))) + x0)"
35,0.36436364,"(((40.06726 - x2) / x0) + 378.398) / (inv((x2 * (x1 + -39.338978)) - ((40.227016 / x0) - square(x2))) + x0)"
37,0.36290908,"((((40.06726 - x2) / x0) + 378.398) / (x0 + inv((-39.338978 * (x2 + x0)) - ((40.227016 / x0) - square(x2))))) - x3"
39,0.3621818,"x2 * (((((40.06726 - x2) / x0) + 378.398) / (inv((-39.338978 * (x2 - x0)) - ((40.06726 / x0) - square(x2))) + x0)) - x3)"
44,0.36145455,"((378.398 + ((40.06726 - x2) / x0)) / (inv(x3) + inv(((40.06726 * (x2 / -1.7652843)) - ((40.06726 - x2) / x0)) - square(x2)))) - square(x2)"
46,0.36072728,"((378.398 + ((40.06726 - x2) / x0)) / (inv(x3) + inv((((40.06726 * x2) / (-1.7652843 - x1)) - ((40.06726 - x2) / x0)) - square(x2)))) - square(x2)"
49,0.36,"((378.398 + ((40.06726 - x2) / x0)) / (inv(x3) + inv(((((x2 * 40.06726) / -1.7652843) + 40.06726) - ((40.06726 - x2) / x0)) - square(x2)))) - square(x2)"
