Complexity,Loss,Equation
1,0.94836366,"x4"
3,0.552049,"x4 - x0"
5,0.53799456,"(x4 - x0) - x3"
6,0.430948,"48.485996 - x3"
7,0.4270276,"((x4 / x1) / x0) - x3"
8,0.26475528,"square(x0 / x3) + (x4 - x0)"
10,0.16,"(x4 / 0.01875439) - (x3 * x0)"
12,0.13910107,"(x4 / ((x3 + x0) * 0.015019767)) - x3"
13,0.13794455,"(x4 / ((x0 * 0.015019775) + exp(x2))) - x3"
14,0.12733725,"x4 + (x3 * (((x4 / 0.022422815) / x0) - x3))"
16,0.10020987,"((((x4 / 0.02568344) / x0) - x3) / (x1 + x2)) + x4"
18,0.0972059,"x4 + (x3 + ((((x4 / 0.0267062) / x0) - x3) / (x2 + x1)))"
20,0.096727274,"x3 * ((x3 + x4) + ((((x4 / 0.0267062) / x0) - x3) / (x2 + x1)))"
24,0.094545454,"((((x4 / 0.025931526) * (exp(x1) / x0)) - (x3 / exp(x1))) + ((x2 + x1) * x4)) * x0"
25,0.08951222,"x3 * ((-0.0318052 / x1) + (((x4 / 0.023472495) / x0) + ((x4 * (x1 + x2)) - x3)))"
26,0.087272726,"((((x4 * (x2 + x1)) - x3) + inv(x1 / -0.031084957)) + ((x4 / 0.023478188) / x0)) * x0"
44,0.08654545,"(((((x1 + x2) * x4) + 0.26492083) + ((x4 / 0.026090845) / x0)) - ((x3 / exp(x1 + x1)) - ((x0 * -1.4729221) / ((x3 * x2) / 0.00033014253)))) * x4"
