Complexity,Loss,Equation
1,0.9301818,"x1"
3,0.56398994,"x4 - x1"
5,0.56398517,"x2 + (x4 - x1)"
6,0.55098265,"459.76987 - x1"
8,0.55054545,"(459.83112 - x1) / x2"
9,0.54695296,"x4 - square(x1 * 0.047685444)"
10,0.5409644,"((x4 * x3) / (x3 - square(x2))) - x1"
12,0.53818184,"(((x4 - x1) / x2) + exp(x2 / x3)) - x0"
13,0.5348714,"square(x1 * (x2 / 1.8268063)) + (x4 - x1)"
14,0.53163636,"(x2 / square(x3)) - (x4 - ((x4 - x1) / (x2 + x2)))"
17,0.5309097,"(x2 / square(x3)) - ((x4 - ((x4 - x1) / (x2 + x2))) - sqrt(x4))"
18,0.5301818,"(x1 / x3) - (((x0 - ((x4 - x1) / x2)) / x2) - (x2 * square(x1)))"
20,0.528,"(x2 / square(x3 - (x3 * square(x4 * square(x2))))) - (x0 - ((x4 - x1) / x2))"
22,0.52220064,"(x2 / square(square(square(x4) * (x3 * (x2 / x1))) - x3)) - (x0 - ((x4 - x1) / x2))"
24,0.51418144,"((x2 / square(square(((x3 * square(x4)) * x2) / x1) - x3)) - (x0 - ((x4 - x1) / x2))) - x0"
26,0.50829136,"square(x2 / (square((x3 / x1) * (square(x4) * x2)) - x3)) - ((x0 - ((x4 - x1) / x2)) / (x0 * x2))"
28,0.5041476,"square(x2 / (x3 - square((x3 * (x2 / x1)) * square(x4)))) - (((x0 - ((x4 - x1) / x2)) + x0) / (x1 * x2))"
30,0.504,"(square(x2 / (x3 - square(((x3 * x2) / x1) * square(x4)))) - (((x0 - ((x4 - x1) / x2)) + x0) / (x1 * x2))) * x0"
31,0.50183684,"square(x2 / (square(((x3 / x1) * square(x4)) * x2) - x3)) - ((x0 - ((x4 - x1) / x2)) / ((x0 * x2) - 2.425801))"
33,0.5011092,"square(x2 / (square(((x3 / x1) * square(x4)) * x2) - x3)) - ((x0 - ((x4 - x1) / x2)) / (((x0 * x2) - 2.425801) - x3))"
34,0.5010909,"(x2 / square(x3 - square(((x3 * square(x4)) * x2) / x1))) - (x0 - (((x4 - x1) / x2) + (-4.9401836 / square(x3 * (x4 * x2)))))"
35,0.50037795,"((x2 / square(x3 - square(square(x4) * ((x3 / x1) * x2)))) - (((x0 - ((x4 - x1) / x2)) / ((x0 * x2) - 2.425801)) / x2)) - x4"
37,0.49964887,"((x2 / square(x3 - square(square(x4) * ((x3 / x1) * x2)))) - (((x0 - ((x4 - x1) / x2)) / (((x0 * x2) - 2.425801) - x3)) / x2)) - x4"
39,0.4930909,"(x2 / square(x3 - square((x3 * square(x4)) * (x2 / x1)))) - (((x0 - ((x4 - x1) / x2)) / 0.5496944) - (-5.302626 / square(x3 * (x4 * x2))))"
