Complexity,Loss,Equation
1,0.9301818,"x0"
4,0.7067688,"inv(x1) - x2"
5,0.5824978,"x0 - exp(sqrt(x2))"
6,0.40998015,"49.11381 - x2"
8,0.2029091,"22258.377 - (x2 * x0)"
9,0.16,"1.2415274e6 - (x0 * square(x2))"
11,0.15927273,"1.2640035e6 - (x0 * (square(x2) + x2))"
12,0.15854545,"1.2640028e6 - ((inv(x1) + square(x2)) * x0)"
13,0.15563637,"440781.56 - ((x0 * square(x2)) / sqrt(sqrt(x2)))"
15,0.14909092,"451371.16 - (x0 * (square(x2) / sqrt(sqrt(x1) * x2)))"
17,0.144,"477386.2 - (x0 * ((square(x2) / sqrt(x2 * sqrt(x1))) + x2))"
20,0.14181818,"477386.2 - ((x0 / sqrt(x2 * sqrt(x1))) * square(x2 + 1.2677958))"
23,0.14036363,"(451371.16 - ((square(x2) * x0) / sqrt(x2 * sqrt(x1)))) - square(x2 / -0.47424784)"
25,0.13963637,"x2 + ((inv(x2) * 449139.72) - (((x2 * x0) / sqrt(sqrt(x1) * x2)) - exp(x2 / sqrt(x0))))"
27,0.13925378,"(inv(x2) * 447893.7) + (x2 - (((x0 * (x2 / sqrt(x2 * sqrt(x1)))) - exp(x2 / sqrt(x0))) - x2))"
29,0.13890909,"x0 * (((x2 + x2) + (447943.16 * inv(x2))) - (((x2 * x0) / sqrt(x2 * sqrt(x1))) - exp(x2 / sqrt(x0))))"
30,0.13818182,"(((x2 * (inv(sqrt(x1)) - x0)) / sqrt(sqrt(x2 * x1))) + (inv(x2) * 1.2462616e6)) - (x0 / (x2 * sqrt(x1 / x0)))"
33,0.13672727,"((inv(x1 / sqrt(x2)) - (x0 * x2)) / sqrt(sqrt(x1 * x2))) + ((inv(x2) * 1.2462616e6) - (x0 / sqrt((x1 * square(x2)) / x0)))"
38,0.136,"((((inv(x1 / sqrt(x2)) - (x0 * x2)) / sqrt(sqrt(x1 * x2))) + (inv(x2) * 1.2462616e6)) - (x0 / sqrt(x1 * (square(x2) / x0)))) + (x1 * square(x2))"
