Complexity,Loss,Equation
1,0.94836366,"x5"
3,0.552049,"x5 - x1"
5,0.44723776,"x0 - exp(sqrt(x4))"
6,0.22838867,"(x0 / sqrt(x1)) - x4"
8,0.21470124,"((x4 + x0) / sqrt(x1)) - x4"
9,0.13472065,"square((square(x5) / x4) / x1) - x4"
11,0.13093752,"square((x4 + (square(x5) / x4)) / x1) - x4"
12,0.12780695,"square((inv(x2) - (square(x5) / x4)) / x1) - x4"
13,0.12280806,"(square((x5 * -2.4497526) / x4) + x4) - x1"
15,0.12039314,"x4 + (square(x5 / ((x2 + -0.41280717) * x4)) - x1)"
16,0.11567159,"(sqrt(x5) + (square((x5 * -2.4168594) / x4) + x4)) - x1"
17,0.11491032,"x0 + ((square((x5 * -2.4323359) / x4) + (x4 - x1)) / x2)"
18,0.10403091,"square(square(x5 * ((((-135.37952 / x1) - x2) - x3) / x4))) - x4"
19,0.09905729,"square(square(square(x5 * ((((-75.98818 / x1) - x2) - x3) / x4)))) - x4"
20,0.09891301,"(square((x2 - ((-135.79472 / x1) - x3)) * (x5 / x4)) - sqrt(x4)) * x0"
21,0.09514867,"square(square(square(x5 * (((((-71.15674 / x1) - x2) - x3) - x3) / x4)))) - x4"
23,0.094542004,"(square(square(square(x5 * ((x3 - (((-71.29424 / x1) - x2) - x3)) / x4)))) - x4) * x4"
24,0.09443517,"(square(square(square((((((-71.27414 / x1) - x2) - x3) - x3) / x4) * x5))) - x4) * sqrt(x4)"
25,0.09381818,"x1 + ((square(square(square(x5 * ((x3 - (((-71.11619 / x1) - x2) - x3)) / x4)))) - x4) * x0)"
26,0.09376809,"square(square(square(x5 * ((x3 - (((-71.11619 / (x1 - -1.2848936)) - x2) - x3)) / x4)))) - x4"
28,0.09097889,"square(x3 * square(x5 * (square((x5 * (16.480274 / x4)) / (x1 * (x2 - 0.13586658))) / x4))) - x0"
30,0.08945455,"square(x3 * square((x5 / x4) * square((x5 * (-16.13322 / x4)) / ((0.13438237 - x2) * x1)))) - (x0 - x4)"
31,0.08874128,"inv(x3) + (square(x3 * square(x5 * (square(((-16.13322 * x5) / ((0.13438237 - x2) * x1)) / x4) / x4))) - x0)"
32,0.088,"square(x3 * square((square(((x5 / x4) / ((x2 - 0.1295092) * x1)) * -15.352546) * x5) / x4)) - ((x0 - x4) - x4)"
34,0.0876266,"square(x3 * square((square((x3 - ((-16.133615 * x5) / x4)) / (x1 * (x2 - 0.13487509))) * x5) / x4)) - ((x0 - x4) - x4)"
35,0.08727277,"square((x3 * square((x5 * square((x5 * (-15.013097 / x4)) / (x1 * (x2 - 0.13210662)))) / x4)) + 5.7014976) - (x0 - x4)"
36,0.087272726,"((square(x3 * square((square(-16.133615 * ((x5 / x4) / ((0.13487509 - x2) * x1))) * x5) / x4)) - ((x0 - x4) - x4)) * x1) + x5"
38,0.08581818,"(x1 * sqrt(sqrt(x1))) + (square(square(sqrt(x3) * ((square((x5 / ((0.12076519 - x2) * x1)) * (-20.928144 / x4)) * x5) / x4))) - (x0 * sqrt(x1)))"
