Complexity,Loss,Equation
1,0.93381816,"x0"
4,0.77264935,"x0 - square(x1)"
5,0.590262,"x0 - exp(sqrt(x1))"
6,0.43809178,"48.274727 - x1"
7,0.43272877,"2341.8435 - square(x1)"
8,0.19272727,"24524.027 - (x0 * x1)"
10,0.17692955,"27226.232 - ((x1 + x0) * x1)"
11,0.1637007,"x0 - square(x0 * (x1 * 0.0009002298))"
13,0.15846933,"(x1 + x0) - square((x0 * -0.000982668) * x1)"
15,0.1570909,"x1 * ((x0 + x1) - square(x1 * (x0 * 0.0009836867)))"
16,0.15449019,"(x0 + 34.25369) - square((x0 * -0.0009803701) * x1)"
17,0.15418184,"((x0 + x0) + x0) - (square(x0 * (x1 * -0.0016719752)) - x1)"
18,0.15418182,"x0 * ((x0 + 33.74242) - square((x1 * x0) * -0.0009803701))"
19,0.15354387,"((x0 + x1) - square((x0 / x0) - ((-0.0013328204 * x0) * x1))) + x0"
20,0.15314722,"x0 + (x0 - (square(((x1 + -1.6096985) * -0.0014323733) * x0) - x1))"
22,0.15272728,"(x0 + (x0 - (square((x1 - 1.643574) * (x0 * -0.0014333487)) - x1))) * x0"
30,0.15055619,"square((x1 - 3.3533537) - x0) * ((x0 + x0) - (square(((1.643574 - x1) * x0) * -0.0014329691) - x1))"
32,0.14909092,"((x0 + (x0 - (square((x0 * (1.643574 - x1)) * -0.0014333487) - x1))) * square(x1 - (x0 - -2.7647557))) - x1"
33,0.14848764,"(x0 + (x0 - (square((x0 * -0.001432749) * (x1 - 1.643574)) - x1))) * (square(3.3974886 - (x1 - x0)) - inv(x0))"
34,0.14618182,"(square((x1 * (x1 * 2.069469)) - x0) * ((x0 + x0) - (square(((1.643574 - x1) * -0.0014333487) * x0) - x1))) - x0"
41,0.14472727,"(square(x0 - square(((x0 * x1) + x1) * 0.00079851545)) + (sqrt(x0) - x1)) * ((x0 + x0) - ((square(1.643574 - x1) * square(x0 * -0.0014333487)) - x1))"
46,0.14109091,"(x0 + (x0 - (square((x1 - 1.643574) * (x0 * -0.0014333487)) - x1))) * (square(square((x0 * (x1 + (square(x0 * 0.0014007528) * sqrt(x0)))) * 0.00079851545) - x0) - x1)"
