Complexity,Loss,Equation
1,0.9258182,"x0"
3,0.57855844,"x2 - x0"
5,0.48267066,"x2 - exp(sqrt(x1))"
6,0.40412658,"49.625237 - x1"
8,0.26130766,"(square(x0 / x1) + x2) - x0"
9,0.14109091,"square(x2) - ((x0 * sqrt(x1)) * x1)"
11,0.13236363,"square(x2) - (x1 * ((x0 * sqrt(x1)) - x2))"
12,0.12727273,"square(x2 + sqrt(x0)) - ((x0 * x1) * sqrt(x1))"
13,0.12136093,"x2 + ((x1 * (5.3237324 - sqrt(x0))) + x2)"
15,0.12072727,"(x2 + (((5.3292212 - sqrt(x0)) * x1) + x2)) * x0"
16,0.11519791,"(sqrt(x2) + (x2 + x2)) - (x1 * (sqrt(x0) - 5.0559063))"
18,0.11345454,"((x2 + sqrt(x2)) + (x2 - ((sqrt(x0) - 5.074935) * x1))) * x0"
19,0.11272727,"((x1 + x1) * ((x2 + ((5.3292212 - sqrt(x0)) * x1)) + x2)) + x0"
20,0.112000026,"(x2 + (((0.6837078 - x1) * (sqrt(x0) - 5.2056623)) + x2)) * x0"
21,0.112,"(x2 + (((sqrt(x0) - 5.2056623) * (0.6837078 - x1)) + x2)) * square(x1)"
25,0.11087209,"x2 + (x2 - ((sqrt(x0) * x1) - (x1 / (0.18421227 - inv((x2 - (sqrt(x2) * x1)) + x2)))))"
27,0.10981818,"x2 * (x2 + (x2 - ((sqrt(x0) * x1) - (x1 / (0.18421227 - inv((x2 + x2) - (sqrt(x2) * x1)))))))"
29,0.10545454,"(((x2 + x2) - x1) - ((sqrt(x0) * x1) - (x1 / (0.15586412 - inv((x2 + x2) - (x1 * sqrt(x2))))))) * x1"
