Complexity,Loss,Equation
1,0.9374545,"x0"
3,0.5656196,"x4 - x1"
5,0.4389739,"x0 - exp(sqrt(x3))"
6,0.24568644,"(x0 / sqrt(x1)) - x3"
8,0.20308891,"(24029.566 / x1) - x3"
9,0.17159058,"(1097.9027 / sqrt(x1)) - x3"
10,0.12938507,"(x4 / sqrt(x3)) - ((x3 * x1) / x4)"
12,0.12625362,"(x4 / sqrt(x3)) - (((x3 * x1) - x0) / x4)"
13,0.12288916,"((x4 + sqrt(x1)) / sqrt(x3)) - ((x3 * x1) / x4)"
14,0.120383166,"((sqrt(sqrt(x2)) + (x3 * -0.025174387)) * x1) + x4"
15,0.10865985,"((sqrt(x2) + (x3 * -0.018140318)) * x1) + (x4 - x3)"
17,0.106181815,"(x4 + ((x1 * ((x3 * -0.01836848) + sqrt(x2))) - x3)) * x4"
20,0.10327273,"(((sqrt(x0) + x1) * (sqrt(x2 + x2) + (x3 * -0.020609576))) + x4) * x0"
22,0.09812118,"((x4 - x3) + (x1 * ((-0.012891366 * x3) + sqrt(x2)))) - (0.12280548 * x0)"
24,0.09580085,"(x1 * (sqrt(x2) + (x3 * -0.012913734))) + ((((x3 - x0) * 0.13084646) + x4) - x3)"
26,0.09381818,"((x1 * (sqrt(x2) + (x3 * -0.012893286))) + ((x4 + (0.13084713 * (x3 - x0))) - x3)) * x1"
28,0.09090909,"((((x4 + ((((-0.012765835 * x3) + sqrt(x2)) * x1) - (x0 * 0.11982493))) - x3) / x2) + x4) - x1"
34,0.09018182,"((x0 / (x4 - x1)) + x4) + ((((((x1 * ((x3 * -0.012765835) + sqrt(x2))) - (x0 * 0.11982493)) - x3) + x4) / x2) - x1)"
37,0.08945455,"(((((((x1 * ((-0.012765835 * x3) + sqrt(x2))) - (x0 * 0.11982493)) - x3) + x4) / x2) - x1) + x4) + ((inv(x2) / (x4 - x1)) / x2)"
39,0.088,"((x4 + (((((x1 * ((x3 * -0.012765835) + sqrt(x2))) - (x0 * 0.11982493)) - x3) + x4) / x2)) - x1) + (x4 / (sqrt(x1 * x3) - (x4 - x1)))"
40,0.08654545,"((((x4 + (x1 * ((x3 * -0.012765835) + sqrt(x2)))) - (x0 * 0.11982493)) - x3) / x2) + (x4 - ((x4 / (sqrt(x4 * 0.52680445) - x3)) + x1))"
44,0.08581818,"((((((x1 * ((x3 * -0.012765835) + sqrt(x2))) - (x0 * 0.11982493)) - x3) + x4) / x2) + x4) - (x1 + (x4 / ((sqrt(x1 * x3) + (x4 - x1)) + 4.068596)))"
45,0.085090905,"(((x4 + ((x1 * ((x3 * -0.012765835) + sqrt(x2))) - (x0 * 0.11982493))) - x3) / x2) + (x4 - (x1 + (x4 / ((x4 - sqrt(x1 * x4)) + sqrt(x1 * 9.718469)))))"
