Complexity,Loss,Equation
1,0.9229091,"x3"
3,0.9208939,"x1 * x3"
4,0.7039801,"inv(x0) - x2"
5,0.4862254,"x3 - exp(sqrt(x2))"
6,0.41415012,"48.88313 - x2"
8,0.40774018,"(x2 / -0.12182451) + x3"
9,0.39324597,"(x3 * 5.3719864) - square(x2)"
11,0.39200005,"(x3 * (x0 + 5.3538666)) - square(x2)"
13,0.392,"x3 / ((x0 + sqrt(x3)) - (x2 * 0.4316613))"
14,0.3903135,"x2 + ((x3 * 5.3494587) - (square(x2) + inv(x0)))"
16,0.3898182,"((x2 + (x3 * 5.3494587)) - (square(x2) + inv(x0))) * x3"
18,0.3870681,"((sqrt(x3) - (x2 * 0.63380814)) / sqrt(x0 * x1)) + (x3 + x2)"
19,0.38548175,"x3 + (inv(x0) + ((sqrt(x3) - (x2 * 0.6329024)) / sqrt(x0 * x1)))"
21,0.38545454,"((x3 + inv(x0)) + ((sqrt(x3) - (0.6330154 * x2)) / sqrt(x0 * x1))) / x1"
23,0.3832745,"((sqrt(x3) - (x2 * (0.5770352 - x1))) * sqrt(2.284328 / (x1 * x0))) + x3"
24,0.3801275,"(((sqrt(x3) / exp(x0)) - (x2 * 0.6990763)) * (0.57937384 / sqrt(x1 * x0))) + x3"
26,0.37963638,"((((sqrt(x3) / exp(x0)) - (x2 * 0.6990763)) * (0.57937384 / sqrt(x1 * x0))) + x3) * x3"
31,0.37052917,"(x3 + (((sqrt(x3) - (x2 * 0.64793885)) * 0.83617103) / sqrt(x1 * x0))) - inv((x0 / x1) - 0.28012586)"
33,0.36998686,"x3 + ((x1 + 0.81664723) * (((sqrt(x3) - (x2 * 0.64793885)) / sqrt(x0 * x1)) - inv((x0 / x1) - 0.28012586)))"
35,0.36945453,"(x3 + ((x1 + 0.81664723) * (((sqrt(x3) - (x2 * 0.64793885)) / sqrt(x0 * x1)) - inv((x0 / x1) - 0.28012586)))) * x3"
37,0.36771354,"((x3 + ((sqrt(x3) - (x2 * 0.6625376)) * (0.7434004 / sqrt(x0 * x1)))) - (x1 / (x0 - x1))) - inv((x0 / x1) - 0.28013045)"
39,0.3650909,"(((x3 + (((sqrt(x3) - (x2 * 0.6625376)) * 0.7434004) / sqrt(x1 * x0))) - (x1 / (x0 - x1))) - inv((x0 / x1) - 0.28013045)) / x0"
41,0.36436364,"((x3 + ((((x0 + (sqrt(x3) - (0.66239226 * x2))) * 0.7434876) / sqrt(x0 * x1)) - (x0 / (x0 - x1)))) - inv((x0 / x1) - 0.28012586)) / x1"
46,0.36363637,"((((x3 + ((0.7434846 / sqrt(x1 * x0)) * ((sqrt(x3) + x0) - (x2 * 0.66239524)))) - (x0 / (x0 - x1))) * 1.2121629) - inv((x0 / x1) - 0.28013092)) / x0"
