Complexity,Loss,Equation
1,0.9301818,"x3"
3,0.565188,"x3 - x0"
5,0.49138853,"x3 - exp(sqrt(x2))"
6,0.40998015,"49.11384 - x2"
8,0.26083422,"x3 - (x0 - square(x0 / x2))"
9,0.13454546,"square(x3) - ((x0 * sqrt(x2)) * x2)"
11,0.121454544,"square(x3) - (x2 * ((x0 * sqrt(x2)) - x3))"
12,0.119329855,"(x3 + sqrt(x3)) - (x2 * sqrt(x0 / sqrt(x2)))"
14,0.11345454,"square(x3) - (sqrt(x2) * ((x0 - sqrt(x0 + x0)) * x2))"
16,0.112,"square(x3) - ((x2 * ((x0 * sqrt(x2)) - x2)) * 0.94826144)"
18,0.11127273,"(((sqrt(x0) - (((x0 * x2) * sqrt(x2)) / x3)) + x3) * x0) + square(x2)"
21,0.10907152,"((x3 * (((x2 * (sqrt(x2) * ((sqrt(x3) - x0) / x3))) + x3) / x0)) / x1) + x0"
22,0.104,"square(sqrt(x3) + (inv((x2 * x1) + -0.6840702) + x3)) - (x2 * (x0 * sqrt(x2)))"
24,0.10109091,"square(x3 + inv(-0.6839867 + (x2 * x1))) - ((x2 * x0) * (sqrt(x2) - 0.67146367))"
33,0.100363635,"(square(x3 + (sqrt(x3) + inv((x1 * x2) + -0.6840702))) + (x2 - (x0 * (sqrt(x2) * x2)))) - (sqrt(x2) * (x3 - (x2 + x0)))"
