Complexity,Loss,Equation
1,0.94836366,"x1"
3,0.552049,"x5 - x1"
5,0.44723776,"x0 - exp(sqrt(x4))"
6,0.22838867,"(x0 / sqrt(x1)) - x4"
8,0.18981865,"24695.85 - (x1 * x4)"
9,0.13539584,"x5 - (sqrt(x1 / sqrt(x4)) * x4)"
10,0.13539581,"x5 - sqrt((x4 * x1) / sqrt(inv(x4)))"
11,0.1335262,"x5 - (x4 * (x2 + sqrt(x1 / sqrt(x4))))"
12,0.13021243,"(sqrt(x5) + x5) - (x4 * sqrt(x1 / sqrt(x4)))"
13,0.12491815,"x5 - sqrt((x4 * x1) / sqrt(inv(x4) + inv(x5)))"
14,0.102948464,"(x5 * ((x3 + (39.288586 / x1)) + x2)) - x4"
16,0.09963636,"((x5 * ((x3 + (39.048416 / x1)) + x2)) - x4) * x5"
18,0.09596451,"(((((39.374897 / x1) + (x2 + x3)) * x5) - x4) / x2) + x4"
20,0.095802575,"((x2 + ((x5 * (x3 + ((39.35738 / x1) + x2))) - x4)) / x2) + x4"
21,0.09381818,"((x4 + square(x4)) * ((((39.286407 / x1) + (x2 + x3)) * x5) - x4)) - x1"
22,0.09236362,"((square(x4) + sqrt(x1)) * ((x5 * ((39.300735 / x1) + (x3 + x2))) - x4)) - x1"
23,0.09163637,"(((x5 / x4) + square(x4)) * ((((39.286407 / x1) + (x2 + x3)) * x5) - x4)) - x1"
25,0.09018182,"(((x1 / x4) + square(x4)) * ((((39.286407 / x1) + (x2 + x3)) * x5) - x4)) - (x1 + x5)"
31,0.08808146,"(((((x5 * 44.08946) / x1) - x4) - (((x5 * exp(x2 + x3)) - x5) / -0.6856807)) / 0.028663889) - x5"
33,0.088,"x1 * ((((((x5 / x1) * 44.088814) - x4) - ((((x2 + exp(x3)) * x5) - x5) / -0.6641704)) / 0.029495783) - x5)"
36,0.086582765,"(((((x5 / x1) * 44.0212) - x4) + (8.186945 - ((((x3 + exp(x2)) * x5) - x5) / -0.679536))) / 0.0487021) - x5"
38,0.08330621,"((((((x5 * (44.021378 / x1)) + 8.121565) - x4) - ((((x2 + exp(x3)) * x5) - x5) / -0.6244624)) / 0.044040885) - x5) - x4"
40,0.08290909,"((((((8.121567 - x4) + ((44.021378 / x1) * x5)) - ((((x2 + exp(x3)) * x5) - x5) / -0.6244464)) / 0.04393933) - x5) - x4) * x5"
42,0.08072727,"((((((((44.021378 / x1) * x5) + (8.121569 - x4)) - ((((exp(x3) + x2) * x5) - x5) / -0.62440723)) / 0.043565597) - x5) - x4) * x4) - x1"
46,0.08,"((((((((((44.021378 / x1) * x5) + (8.121569 - x4)) - ((((exp(x3) + x2) * x5) - x5) / -0.62440723)) / 0.043565597) - x5) - x4) * x4) - x1) * x4) - x0"
