Complexity,Loss,Equation
1,0.92945457,"x0"
4,0.7549888,"x0 - square(x1)"
5,0.56234914,"x0 - exp(sqrt(x1))"
6,0.39960867,"48.091633 - x1"
7,0.394182,"2240.1953 - square(x1)"
8,0.19567536,"25795.723 - (x0 * x1)"
9,0.15998225,"1047.0304 - (x1 * sqrt(x0))"
11,0.1478223,"(x1 + 1005.2447) - (x1 * sqrt(x0))"
13,0.14763637,"x1 * (1005.8668 - ((x1 * sqrt(x0)) - x1))"
18,0.14690909,"((x0 + x0) * (x1 + (1004.74274 - (x1 * sqrt(x0))))) + square(x1)"
21,0.14472727,"square(x0) + (((x1 + 1004.74274) - (x1 * sqrt(x0))) * square((x1 + x1) - x0))"
23,0.14181818,"x0 + (square((x1 + x1) + (sqrt(x1) - x0)) * ((x1 + 1004.74274) - (x1 * sqrt(x0))))"
