Complexity,Loss,Equation
1,0.9192727,"x3"
3,0.9176589,"x1 * x3"
4,0.7202911,"inv(x0) - x2"
5,0.4958332,"x3 - exp(sqrt(x2))"
6,0.42475605,"48.21345 - x2"
7,0.41820374,"x3 - (exp(sqrt(x2)) - x3)"
8,0.41635334,"x3 - (x2 * 9.080328)"
9,0.40348437,"(x3 / 0.18619171) - square(x2)"
11,0.40218288,"((x2 + x3) / 0.21054828) - square(x2)"
12,0.3927273,"(x0 * square(x3)) - exp(x2 * 0.1711671)"
14,0.39248773,"(x2 - exp(x2 * 0.1714249)) + (square(x3) * x0)"
15,0.39248765,"(square(sqrt(x0) * x3) + x2) - exp(0.1714249 * x2)"
16,0.39127272,"(x0 * (square(inv(x1)) + square(x3))) - exp(x2 * 0.17180444)"
18,0.3869091,"((x0 * square(x3)) - exp(0.1711671 * x2)) - inv(x1 - inv(x3))"
20,0.38545454,"((x0 * square(x3)) - (exp(0.1711671 * x2) + inv(x1 - inv(x3)))) + x2"
21,0.38398397,"((x0 * square(x3)) - (inv(x1 - inv(x3)) + exp(0.1711671 * x2))) + inv(x1)"
22,0.38327274,"(square(x3) * x0) - (exp(0.1711671 * x2) - (-0.6088534 / (x1 - inv(x3))))"
24,0.38254607,"(((x0 * square(x3)) - exp(x2 * 0.1711671)) - (0.6629822 / (x1 - inv(x3)))) + x2"
26,0.38254544,"x2 * ((((x0 * square(x3)) - exp(x2 * 0.1711671)) - (0.71289986 / (x1 - inv(x3)))) + x2)"
41,0.3810909,"(square(0.27416018 * square(x3 / x2)) - exp(x2 * 0.12573114)) - inv(x0 - ((square(exp(x2 * 0.1288825) / x3) * x0) * (x1 - -0.21511984)))"
43,0.37963638,"(square(square(x3 / x2) * 0.27409977) - exp(x2 * 0.12581338)) - inv(x0 - (((x0 + x0) - -0.21549474) * (square(exp(x2 * 0.12894924) / x3) * x0)))"
45,0.37678224,"(square(square(x3 / x2) * 0.2742117) - exp(x2 * 0.1247913)) - inv(x0 - (x0 * ((x0 + (x1 - -0.21319294)) * square(exp(x0 + (x2 * 0.12897907)) / x3))))"
47,0.37672728,"((square(square(x3 / x2) * 0.2742117) - exp(x2 * 0.1247913)) - inv(x0 - ((x0 * (x0 + (x1 - -0.21319294))) * square(exp(x0 + (x2 * 0.12897907)) / x3)))) / x0"
50,0.3765238,"(square(square(x3 / x2) * 0.27420267) - exp((x2 - 0.20990784) * 0.124822505)) - inv(x0 - (((x0 + (x1 - -0.2131642)) * x0) * square(exp(x0 + (x2 * 0.12898913)) / x3)))"
