Complexity,Loss,Equation
1,0.92145455,"x2"
3,0.5633095,"x2 - x0"
5,0.50085413,"x2 - exp(sqrt(x1))"
6,0.41587526,"50.202763 - x1"
8,0.25276923,"square(x0 / x1) + (x2 - x0)"
9,0.12727273,"square(x2) - ((x0 * sqrt(x1)) * x1)"
11,0.12509091,"square(x2) - (x1 * ((x0 * sqrt(x1)) - x2))"
12,0.119272724,"square(x2) - (x0 * ((sqrt(x1) * x1) - sqrt(x2)))"
14,0.11345454,"square(x2) - (sqrt(x1) * ((x1 * (x0 - sqrt(x2))) - x0))"
16,0.108895645,"(exp(sqrt((x2 - x1) / x0) + (x2 / x0)) * x2) - square(x1)"
18,0.107712604,"((x0 * -0.18092632) / ((x2 / square(x1)) + 0.052295446)) + x2"
20,0.10545454,"x2 / ((x2 / x0) + (-0.18122673 / ((x2 / square(x1)) + 0.046170026)))"
25,0.10541735,"((-0.18101826 / ((x2 / square(x1)) + 0.04670725)) + (x2 / x0)) * square((x2 - x1) - x0)"
26,0.10510782,"((-0.18101826 / ((x2 / square(x1)) + 0.04670725)) + (x2 / x0)) * square(sqrt(x2) - (x1 - x0))"
27,0.10480861,"((-0.18101807 / ((x2 / square(x1)) + 0.046707813)) + (x2 / x0)) * square((x1 - x0) - sqrt(sqrt(x1)))"
28,0.10239513,"((-0.18101826 / (0.04670725 + (x2 / square(x1)))) + (x2 / x0)) * square((x0 - x2) + sqrt(x0 * x1))"
29,0.10211825,"((-0.18098676 / ((x2 / square(x1)) + 0.04679954)) + (x2 / x0)) * square(square((sqrt(x0 * x1) + x0) - x2))"
30,0.100363635,"(square(((x2 + x2) + x2) - square(x1)) * ((-0.18101826 / ((x2 / square(x1)) + 0.04670725)) + (x2 / x0))) - x1"
31,0.09963636,"(((-0.18101826 / ((x2 / square(x1)) + 0.04670725)) + (x2 / x0)) * square(square((1.5265546 * x0) - x2))) + x1"
32,0.098762654,"(square((sqrt(x0 * x1) - x2) + x0) - (x2 / x0)) / ((x2 / x0) + (-0.18101826 / ((x2 / square(x1)) + 0.04670725)))"
34,0.09818182,"((square((sqrt(x0 * x1) - x2) + x0) - (x2 / x0)) / ((x2 / x0) + (-0.18101826 / ((x2 / square(x1)) + 0.04670725)))) * x0"
