Complexity,Loss,Equation
1,0.92145455,"x2"
3,0.5611562,"x2 - x0"
5,0.48250294,"x2 - exp(sqrt(x1))"
6,0.42019096,"48.205555 - x1"
7,0.41602194,"x2 - (exp(sqrt(x1)) - x2)"
8,0.2446504,"(square(x0 / x1) + x2) - x0"
9,0.13390112,"x2 - sqrt(x1 * (sqrt(x1) * x0))"
10,0.13309091,"(x2 * x2) - ((sqrt(x1) * x0) * x1)"
11,0.1282877,"x2 - sqrt(x1 * ((sqrt(x1) * x0) - x1))"
12,0.116662785,"x2 + (sqrt(x2) - sqrt(x1 * (sqrt(x1) * x0)))"
13,0.11442315,"(x2 + x2) + (x1 * (5.3297715 - sqrt(x0)))"
14,0.11279396,"x2 - sqrt((x1 * sqrt(x1)) * (x0 - sqrt(x0 + x0)))"
15,0.11054546,"(((x2 * x2) / sqrt(x1)) - ((x0 - sqrt(x2)) * x1)) + x0"
16,0.109294735,"(x1 * (5.057452 - sqrt(x0))) + ((x2 + sqrt(x2)) + x2)"
17,0.108363636,"(x1 * (x2 + (x2 + (x1 * (5.298262 - sqrt(x0)))))) + x2"
18,0.10787122,"x2 + (x2 + ((5.212573 - sqrt(x0)) * (x1 + -0.66528755)))"
19,0.106181815,"((x1 + x1) * ((x2 + x2) + (x1 * (5.3164186 - sqrt(x0))))) + x0"
20,0.104727276,"((((x1 + -0.7062826) * (5.1981297 - sqrt(x0))) + x2) + x2) * x0"
28,0.102545455,"x0 + (square(x0 + (x1 * -3.5614436)) * (((x1 * (5.0544386 - sqrt(x0))) + (sqrt(x2) + x2)) + x2))"
31,0.100363635,"x0 + (square(x1 + (x0 / -3.5614436)) * ((((x1 * (5.0544386 - sqrt(x0))) + x2) + ((x2 + x2) / x1)) + x2))"
34,0.09818182,"((((x2 / x1) + 7.4730787) + ((x2 + ((5.1093993 - sqrt(x0)) * x1)) + x2)) * square((-0.6542242 * x2) + x0)) + x2"
