Complexity,Loss,Equation
1,0.9250903,"5.3429494"
3,0.40104866,"48.224545 - x4"
4,0.3956392,"2334.3733 - square(x4)"
5,0.20072727,"25543.443 - (x1 * x4)"
7,0.17433672,"((x5 * 53.05701) / x4) - x1"
8,0.1338318,"2902.4385 - (square(x4) * (x1 / x5))"
9,0.1264992,"((x5 * 35.915794) / x1) - (x4 + -17.353186)"
10,0.11599525,"(log(26.541965 / x4) * (x1 * 1.4737731)) + x5"
11,0.115657,"cube(((x1 * log(26.520935 / x4)) / 0.6797049) + x5)"
12,0.10955067,"(x1 * (x2 + log(22.075556 / x4))) + (x5 - x4)"
13,0.10955058,"(x1 * (log(22.075434 / x4) + tan(x2))) + (x5 - x4)"
14,0.10282242,"x5 + ((x1 * log(x2 + (21.982094 / x4))) - (x4 * 1.1593064))"
15,0.10109091,"cube((x5 + (x1 * log(x2 + (22.048126 / x4)))) - x4) - x0"
18,0.09963636,"cube((x5 + ((log((22.048126 / x4) + x2) * x1) - x4)) - tan(x5)) - x0"
20,0.09745455,"(cube((x5 - x4) + (x1 * log((22.048126 / x4) + x2))) - x0) - (tan(x5) * x5)"
21,0.094545454,"cube((x5 - x4) + (x1 * log((22.048126 / x4) + x2))) - (x0 - cube(tan(x5 - 0.3001956)))"
24,0.09309091,"cube((x5 - x4) + (log(x2 + (22.048126 / x4)) * x1)) - (x0 - cube(inv(cos(x4 / (x3 * -0.8044593)))))"
27,0.088,"cube((x5 - x4) + (x1 * log((22.048126 / x4) + x2))) - (x0 + cube(inv(cos(-7.6493597 * x4)) - tan(x5 - 0.3001956)))"
34,0.08654545,"cube((x1 * log(x2 + (22.048126 / x4))) + (x5 - x4)) - ((inv(cube(cos(x4 * -7.6493597))) + (x0 - cube(tan(x5 - -0.42659006)))) - cube(tan(x5 - 0.32674325)))"
36,0.08436364,"cube((x5 - x4) + (x1 * log((22.048126 / x4) + x2))) - (((x0 + cube(inv(cos(x4 * -7.6493597)))) - cube(tan(x5 - -0.42659006) * 1.5543188)) - cube(tan(x5 - 0.32674325)))"
40,0.083636366,"cube((x5 - x4) + (x1 * log((22.048126 / x4) + x2))) - (((cube(inv(cos(x4 * -7.6493597))) + x0) - (cube(tan(x5 - -0.42659006) * 1.5543188) - cube(tan(x5)))) - cube(tan(x5 - 0.32674325)))"
