Complexity,Loss,Equation
1,0.9308571,"x1"
2,0.93085694,"5.3430896"
3,0.5620396,"x5 - x1"
4,0.41033983,"48.543995 - x4"
6,0.19142857,"24872.75 - (x1 * x4)"
7,0.1536839,"(1.2347395e6 / square(x4)) - x1"
9,0.14003704,"x5 - (square(x4 * -0.018523572) * x1)"
10,0.13057819,"(x5 + x1) - ((x4 * 0.039517745) * x1)"
11,0.11783871,"(x1 * ((sqrt(x5) - x4) * 0.028055655)) + x5"
12,0.1061146,"(x1 * (sqrt(sqrt(x3)) - (x4 * 0.024522582))) + x5"
13,0.10284885,"x5 + (((sqrt(x3) - (x4 * 0.017078558)) * x1) - x4)"
14,0.09394231,"((sqrt(sqrt(x2 + x3)) - (x4 * 0.026140776)) * x1) + x5"
15,0.07709711,"(x1 * (((x3 + x2) / 0.08833662) - (x4 * 0.025371872))) + x5"
17,0.07657143,"x0 * (((((x3 + x2) / 0.09031827) - (x4 * 0.0252978)) * x1) + x5)"
19,0.074857146,"x5 * (((((x2 + x3) / 0.15738273) - (x4 * 0.019642435)) * x1) + (x5 - x4))"
21,0.074346125,"square(x4 + -13.541899) * (x5 + ((((x3 + x2) / 0.09031772) - (x4 * 0.025313865)) * x1))"
22,0.07028593,"(x5 * (x2 * (x5 + (x1 * (((x3 + x2) / 0.1014514) - (x4 * 0.02407795)))))) - inv(x3)"
23,0.069142856,"(exp(x4 * sqrt(x2)) * ((x1 * (((x3 + x2) / 0.09031827) - (x4 * 0.02519383))) + x5)) - x5"
25,0.068571426,"(exp(x4 * (x2 + x3)) * (x5 + ((((x3 + x2) / 0.10629355) - (x4 * 0.02403854)) * x1))) - inv(x3)"
26,0.06571491,"(exp(square(x4 * (x2 + x3))) * (((((x2 + x3) / 0.106255494) - (x4 * 0.024078079)) * x1) + x5)) - inv(x3)"
27,0.058285713,"(exp((x4 * (x3 + x2)) * 3.1797187) * (((((x3 + x2) / 0.10630107) - (x4 * 0.02406881)) * x1) + x5)) - x5"
29,0.057804093,"(((x5 + (x1 * (((x2 + x3) / 0.10616411) - (x4 * 0.024300387)))) * exp((x4 * (x3 + x2)) / 0.33809385)) + x4) - x5"
30,0.057714533,"(exp(x4 * ((x3 + x2) / 0.33491808)) * ((x5 + sqrt(x5)) + (x1 * (((x2 + x3) / 0.10485851) - (x4 * 0.025275046))))) - x5"
31,0.05735735,"(((x5 + (x1 * (((x2 + x3) / 0.10612188) - (x4 * 0.024960749)))) + 12.859367) * square(exp(x4 * ((x3 + x2) / 0.66141605)))) - x5"
33,0.057142857,"((square(exp((x4 * (x3 + x2)) / 0.66141605)) * ((((((x2 + x3) / 0.10612189) - (x4 * 0.024960738)) * x1) + x5) + 12.859367)) - x5) * x4"
35,0.05542872,"(square(inv(x1) + ((x3 * (x2 + inv(x5))) * x0)) * (((sqrt((x2 + x3) / 0.32055318) - (x4 * 0.024029221)) * (x1 * x0)) + (x0 * x5))) - x5"
37,0.055428572,"((((x5 * x0) + ((x0 * x1) * (sqrt((x3 + x2) / 0.32733345) - (x4 * 0.023972008)))) * square((x0 * ((inv(x5) + x2) * x3)) + inv(x1))) - x5) * x4"
38,0.05485709,"(square(x0 * (((inv(x5) + x2) * x3) + square(inv(x1 + x1)))) * ((x1 * ((sqrt((x2 + x3) / 0.31355304) - (x4 * 0.024126774)) * x0)) + (x5 * x0))) - x5"
39,0.054285713,"(((x0 * x5) + (x1 * (x0 * (sqrt((x3 + x2) / 0.3232075) - (x4 * 0.024001071))))) * (inv(square(x1 * 0.22148016)) + square((x2 + inv(x5)) * (x3 * x0)))) - x5"
40,0.053801533,"(square((((inv(x5) + x2) + inv((x4 * x1) * sqrt(x3))) * x0) * x3) * (((sqrt((x3 + x2) / 0.32587576) - (x4 * 0.023977239)) * (x1 * x0)) + (x5 * x0))) - x5"
42,0.05142857,"(square(x3 + ((inv(x5) + x2) * ((x0 + ((x1 * x4) / (x1 - x0))) * x3))) * (((sqrt((x2 + x3) / 0.31355304) - (x4 * 0.024126774)) * (x0 * x1)) + (x5 * x0))) - x5"
43,0.04799944,"(square(inv(x1) + (((inv(x5) + x2) * (x0 + ((x1 * x4) / (x1 - x0)))) * x3)) * (((x1 * (sqrt((x2 + x3) / 0.31354952) - (x4 * 0.024101194))) * x0) + (x5 * x0))) - x5"
44,0.047835246,"((((x0 * x1) * (sqrt((x2 + x3) / 0.31728914) - (x4 * 0.02403686))) + (x0 * x5)) * square(inv(x1) + ((x0 + ((sqrt(x1) / (x1 - x0)) * x1)) * (x3 * (inv(x5) + x2))))) - x5"
45,0.046857145,"(square((inv(x5 * x1) + ((inv(x5) + x2) * x3)) * (x0 + ((x0 * x4) / (x1 - x0)))) * ((x1 * ((sqrt((x2 + x3) / 0.31354952) - (x4 * 0.024101194)) * x0)) + (x0 * x5))) - x5"
46,0.046285715,"((((x1 * (sqrt((x3 + x2) / 0.31354952) - (x4 * 0.024101194))) * x0) + (x0 * x5)) * square((inv(x1) * 1.8867556) + ((inv(x5) + x2) * (x3 * (x0 + ((x4 * x0) / (x1 - x0))))))) - x5"
