Complexity,Loss,Equation
1,0.93085563,"4.9960227"
3,0.41033983,"48.544 - x4"
5,0.19142857,"24872.766 - (x4 * x1)"
6,0.15371428,"(1.2256136e6 / x1) - square(x4)"
8,0.1452732,"((13176.266 / x1) + sqrt(x5)) - x4"
9,0.11742491,"(x5 * ((37.95862 / x1) + 0.04025899)) - x4"
11,0.09127893,"(((x2 + (41.144634 / x1)) + x3) * x5) - x4"
13,0.08628572,"((x5 * (x2 + ((41.578163 / x1) + x3))) - x4) * x0"
15,0.08101875,"(((((x2 + x3) + (39.41706 / x1)) * x5) - x4) / x2) + x4"
17,0.08072168,"(x4 + (((x5 * ((39.219337 / x1) + (x3 + x2))) - x4) / x2)) + 4.889333"
18,0.07828572,"(x5 * (sqrt(x5) + (((x5 * 38.019947) / x1) - x4))) - square(inv(x3 + x2))"
