Complexity,Loss,Equation
1,0.9308571,"539207.5"
3,0.41033983,"48.54391 - x1"
4,0.40228572,"2339.3188 - square(x1)"
5,0.19142857,"24873.854 - (x0 * x1)"
6,0.1536839,"square(-1111.2151 / x1) - x0"
8,0.14917916,"991.3864 - (x1 * (sqrt(x0) + -1.5074567))"
10,0.14831723,"((sqrt(x0) * -0.79699093) * (x1 + 6.937178)) + 991.76044"
12,0.14685714,"(((x1 + 7.7652545) * (sqrt(x0) * -1.4895629)) + 1886.9435) * x0"
15,0.14395985,"(inv((x0 / 1006.6514) + -0.41740766) - ((sqrt(x0) + -1.0394852) * x1)) + 1008.4191"
17,0.14236897,"(inv((x0 / 1006.6516) + -0.41627422) + 1006.79553) - ((x1 + 0.8363296) * (sqrt(x0) + -1.4768313))"
19,0.14228572,"((inv((x0 / 1006.6514) + -0.41740766) - ((sqrt(x0) + -1.4763458) * (x1 + 0.8462309))) + 1006.6514) * x0"
