Complexity,Loss,Equation
1,0.9374545,"x3"
3,0.58010536,"x3 - x0"
5,0.4788667,"x3 - exp(sqrt(x2))"
6,0.40985495,"48.206894 - x2"
7,0.40945455,"(x3 - exp(sqrt(x2))) + x3"
8,0.25951147,"(square(x0 / x2) + x3) - x0"
9,0.13527273,"square(x3) - (x0 * (sqrt(x2) * x2))"
11,0.13163637,"square(x3) - (x2 * ((x0 * sqrt(x2)) - x2))"
12,0.12695184,"x3 - (sqrt(x0 / sqrt(x2 + sqrt(x2))) * x2)"
13,0.12452843,"x3 - (sqrt(x0 / sqrt((x0 * x1) + x2)) * x2)"
14,0.11650707,"(x3 + x0) - square((x0 + (x0 * x2)) / (x3 + x3))"
15,0.11644124,"(x3 + x0) - square(((exp(x1) + x2) * x0) / (x3 + x3))"
16,0.11636364,"(x3 + (x0 - square((x0 + (x0 * x2)) / (x3 + x3)))) * x3"
20,0.11113752,"(x3 + (x0 - inv(x1))) - square(x2 * (x0 / (x3 + (x3 * 1.1523855))))"
22,0.11054546,"((x0 + (x3 - square((x0 * x2) / (x3 + (1.1522747 * x3))))) - inv(x1)) / x1"
27,0.11030329,"((x3 - square(((x0 / (x3 + (x3 * 1.1467651))) * x2) - x1)) + x0) - (inv(x1) - 3.1277518)"
28,0.110298805,"((x3 - square(((x0 / (x3 + (x3 * 1.1467651))) * x2) - x1)) + x0) - (inv(x1) - square(-1.7910194))"
29,0.10765246,"(exp(x0 * x1) * (sqrt(x0 * 2.6711035) + (sqrt(x3) - ((x2 + -2.6924026) * (x0 / x3))))) - sqrt(x2)"
30,0.10569952,"((sqrt(x0 * 2.8335667) + (sqrt(x3) - (((x2 + -1.8421435) * x0) / x3))) * exp(x0 * x1)) - sqrt(inv(x1))"
32,0.10545454,"((((sqrt(x0 * 2.7174034) - (((-2.4516907 + x2) * x0) / x3)) + sqrt(x3)) * exp(x0 * x1)) - inv(sqrt(x1))) * x3"
34,0.104727276,"(((((sqrt(x0 * 2.815223) - ((x0 / x3) * (x2 + -1.922759))) + sqrt(x3)) * exp(x1 * x0)) - sqrt(inv(x1))) * x3) - x0"
40,0.104297005,"(x2 / ((x2 - x0) + -3.6251116)) + ((((sqrt(2.8358238 * x0) + sqrt(x3)) - (x0 * ((-1.8453509 + x2) / x3))) * exp(x0 * x1)) - sqrt(x0))"
41,0.102739125,"(((sqrt(x0 * 2.8357694) + (sqrt(x3) - ((x2 + -1.8454224) * (x0 / x3)))) * exp(x0 * x1)) + (x2 / ((x2 - x0) + -3.6251128))) - sqrt(inv(x1))"
42,0.10191769,"((((sqrt(x3) - (((-1.8421435 + x2) * x0) / x3)) + sqrt(x0 * 2.8335667)) * exp(x0 * x1)) + (sqrt(x3) / (-3.6251128 + (x2 - x0)))) - sqrt(inv(x1))"
44,0.10181818,"(((sqrt(x3) / ((x2 - x0) + -3.7251692)) + (((sqrt(x0 * 2.815223) + sqrt(x3)) - ((x0 / x3) * (x2 + -1.922759))) * exp(x1 * x0))) - sqrt(inv(x1))) * x2"
46,0.10109091,"((((sqrt(x3) / ((x2 - x0) + -3.7251692)) + (exp(x1 * x0) * (sqrt(2.815223 * x0) + (sqrt(x3) - ((x2 + -1.922759) * (x0 / x3)))))) - sqrt(inv(x1))) * x3) - x0"
