Complexity,Loss,Equation
1,0.952,"x0"
3,0.5810349,"x4 - x0"
5,0.48653597,"x4 - exp(sqrt(x3))"
6,0.4060911,"48.632637 - x3"
7,0.40438503,"(x4 + x4) - exp(sqrt(x3))"
8,0.26474392,"(x4 + square(x0 / x3)) - x0"
9,0.14036363,"square(x4) - (x0 * (x3 * sqrt(x3)))"
11,0.13527273,"square(x4) - (x3 * ((x0 * sqrt(x3)) - x3))"
12,0.12945454,"square(sqrt(x0) + x4) - (x3 * (sqrt(x3) * x0))"
13,0.12654546,"square(x4) - (x0 * ((x3 * sqrt(x3)) - (x1 * x0)))"
14,0.12509091,"square(x4) - ((x0 * x3) * (sqrt(x3) + -0.7751421))"
16,0.12436364,"square(((x1 * x0) + sqrt(x3)) + x4) - (sqrt(x3) * (x3 * x0))"
17,0.11563636,"square(x4 + sqrt(x0)) - (inv(x1 * x2) + (x0 * (x3 * sqrt(x3))))"
18,0.11349081,"((x4 * (525.71356 - inv(x1))) / square(x3 * (x0 / x4))) - x3"
19,0.109790586,"(((x4 * 456.73697) - square(inv(x1))) / square(x3 * (x0 / x4))) - x3"
21,0.100667566,"(((222989.36 / square(x3 * (x0 / x4))) - x3) / (inv(x2) / x4)) - inv(x1)"
23,0.09667187,"(((x4 * (569.26636 / square((x3 / x4) * x0))) - x3) / (inv(x1) / x4)) - inv(x2)"
25,0.09662094,"(((x4 * (569.26636 / square((x0 * (x3 - x2)) / x4))) - x3) / (inv(x1) / x4)) - inv(x2)"
26,0.0938588,"(((220390.7 / square((x0 * x3) / x4)) - x3) / sqrt(x2)) + ((x1 - 0.04381665) / square(x2))"
27,0.08727296,"(((x1 - 0.041058388) / x2) + (sqrt(x2) * ((211419.4 / square(x3 * (x0 / x4))) - x3))) * x4"
28,0.08486692,"(((220390.7 / square((x0 * x3) / x4)) - x3) / ((inv(x1) / x4) - x1)) - square(0.13528791 / x2)"
30,0.08415529,"(((220391.81 / square(x0 * (x3 / x4))) - x3) - (((inv(x1) / x4) - x1) * square(0.13655022 / x2))) / x1"
31,0.0766178,"((x1 - 0.042343643) / square(x2)) + (((217291.56 / square(x3 * (x0 / x4))) - x3) / (inv(x1) / 503.41574))"
33,0.07636364,"((((217290.84 / square(x0 * (x3 / x4))) - x3) / (inv(x1) / 503.09766)) + ((x1 - 0.042343643) / square(x2))) / x1"
35,0.07484194,"((x1 - 0.042352285) / square(x2)) + (((220390.7 / square((x1 + (x0 / x4)) * x3)) - x3) / ((inv(x1) / 515.9054) - x2))"
37,0.073454544,"(((((220390.7 / square(x3 * ((x0 / x4) + x1))) - x3) / (inv(x1) / 515.9054)) + ((x1 - 0.042310182) / square(x2))) / x2) + x4"
39,0.07272728,"(((((220390.7 / square((x2 - x3) * ((x0 / x4) + x1))) - x3) / (inv(x1) / 515.9054)) + ((x1 - 0.042310182) / square(x2))) / x2) + x4"
41,0.07272727,"((((((220390.7 / square((x2 - x3) * ((x0 / x4) + x1))) - x3) / (inv(x1) / 515.9054)) + ((x1 - 0.042310182) / square(x2))) / x2) + x4) / x2"
45,0.072,"(x0 * (((x1 - 0.04328313) / square(x2)) + (((220390.7 / square(x3 * ((sqrt(x3) + x0) / x4))) - x3) / (inv(x1) / 515.9015)))) + (exp(sqrt(x3)) / 0.7796914)"
