Complexity,Loss,Equation
1,0.90909094,"x0"
3,0.5722727,"x3 - x0"
5,0.506025,"x3 - exp(sqrt(x2))"
6,0.42176527,"48.850143 - x2"
8,0.26094896,"(x3 + square(x0 / x2)) - x0"
9,0.2531103,"(x3 * exp(x0 / square(x2))) - x0"
10,0.14285325,"square(((x3 / x0) / x2) * x3) - x2"
11,0.14254546,"square((x3 * x3) / x0) - (x2 * square(x2))"
12,0.13763225,"square(((x3 + x2) * (x3 / x2)) / x0) - x2"
13,0.12914065,"square(((x3 + x3) / x2) + 5.3332577) - x0"
15,0.128,"(square(5.334335 + ((x3 + x3) / x2)) - x0) * x3"
16,0.1245015,"square(((exp(x1) * (x3 + x3)) / x2) + 5.191327) - x0"
17,0.121527456,"square((((x3 + x3) + (x0 * x1)) / x2) + 5.292908) - x0"
19,0.119272724,"(square(5.316709 + (((x3 + x3) + (x0 * x1)) / x2)) - x0) * x0"
24,0.117227025,"(square((((x3 + x3) + (x0 * x1)) / x2) + 5.292908) - x0) - (x2 / exp(x1 * x3))"
26,0.11636364,"((square((((x3 + x3) + (x0 * x1)) / x2) + 5.292908) - x0) - (x2 / exp(x1 * x3))) * x2"
28,0.11563636,"(((square((((x3 + x3) + (x0 * x1)) / x2) + 5.292908) - x0) - (x2 / exp(x1 * x3))) * x2) + x2"
30,0.11490909,"((square(5.318587 + ((((x1 * x0) + x3) / x2) + (x3 / x2))) - x0) - (x0 / exp(x1 * (x3 + x0)))) * x3"
31,0.11345454,"((square(((((x1 * x0) + x3) / x2) + (x3 / x2)) + 5.318587) - x0) - (inv(x1) / exp(x1 * (x3 + x0)))) * x3"
34,0.11127273,"(square((((x0 * x1) + x3) / x2) + ((x3 / x2) + 5.291886)) - (x0 - ((x3 / (x0 - x2)) - (x3 / exp(x1 * x3))))) * x3"
43,0.11053546,"(x0 * ((square(((((x0 * x1) + (x3 / (x2 - (x0 + (x3 / x2))))) + x3) / x2) + ((x3 / x2) + 5.291886)) - x0) - (inv(x1) / exp(x1 * (x0 + x3))))) + x3"
44,0.10981818,"inv(x1) + (((square(((x3 / x2) + ((((x0 * x1) + x3) + (x3 / (x2 - (x0 + (x3 / x2))))) / x2)) + 5.291886) - x0) - (inv(x1) / exp(x1 * (x3 + x0)))) * x2)"
