Complexity,Loss,Equation
1,0.9268571,"x0"
3,0.57435364,"x5 - x1"
4,0.5652501,"x0 - square(x4)"
5,0.43379393,"x0 - exp(sqrt(x4))"
6,0.23834515,"square(x0 / x4) - x1"
7,0.23834512,"(square(x0) / square(x4)) - x1"
8,0.21544099,"(x0 + x5) - (sqrt(x1) * x4)"
9,0.13863225,"square(square(x5) / (x4 * x1)) - x4"
10,0.13796628,"((square(x5) / x1) * sqrt(x4)) - square(x4)"
11,0.13449222,"square(square(x5) / (x0 - (x4 * x1))) - x4"
12,0.12795171,"square(square(sqrt(x5) + x5) / (x1 * x4)) - x4"
13,0.1253648,"square(square(x5) / ((x4 * x1) - (x0 + x0))) - x4"
14,0.12524775,"square(square(x5 + (x5 / sqrt(x0))) / (x1 * x4)) - x4"
15,0.122862555,"(((square(square(x5) / (x1 * x4)) - x4) / x2) - x4) + x5"
16,0.12229433,"(((square(square(x5) / (x1 * x4)) - x4) / x2) * exp(x2)) + x5"
17,0.117142856,"((square(((x5 * (x5 / x4)) - inv(x2)) / x1) - x4) / x2) + x5"
19,0.11657145,"((square(((x5 * ((x5 / x4) - x2)) - inv(x2)) / x1) - x4) / x2) + x5"
20,0.114285715,"((square((((x5 * x5) / x4) - inv(x2)) / x1) - x4) / x2) - -450.96185"
21,0.1080881,"square(square(x5) / (x1 * x4)) - (x4 - (12.305167 - inv(x0 * (x3 * x2))))"
23,0.10285714,"((square(square(x5 + sqrt(x1 + x5)) / (x4 * x1)) - x4) - inv((x3 * x0) * x2)) * x5"
25,0.09942857,"x5 * ((square(square(sqrt(x1 + x5) + x5) / (x4 * x1)) - x4) - inv((x2 * (x3 * x0)) - x3))"
31,0.09885714,"x1 + (x5 * (((square(square(x5 + square(x4 / sqrt(x5))) / (x1 * x4)) - x4) - -7.175975) - inv(x2 * (x3 * x0))))"
35,0.09428571,"(((square(square(x5 + ((inv(x1 - x4) * x5) + 5.0532656)) / (x1 * x4)) - x4) - -10.63389) - inv((x3 * x0) * x2)) * x0"
43,0.09428452,"x4 * ((x3 / x2) * (((square(square((x5 + (inv(((x3 / x2) - x4) + x1) * x5)) + 5.9769135) / (x1 * x4)) - x4) - -10.192754) - inv((x3 * x2) * x0)))"
45,0.09426592,"((((square(square((x5 + 5.9769135) + (inv(((x3 / x2) - x4) + x1) * x5)) / (x1 * x4)) - x4) - -10.192754) - inv(x3 * (x2 * x0))) * (x4 / (x2 + x2))) * x3"
47,0.093714714,"((((square(square((5.9769135 + x5) + (inv(((x3 / x2) - x4) + x1) * x5)) / (x1 * x4)) - x4) - -10.192754) - inv((x3 * x2) * x0)) * ((x0 / (x2 + x2)) * x3)) + x4"
48,0.09371429,"(((x0 / (x2 + x2)) * x3) * (((square(square(5.9769135 + (x5 + (inv(((x3 / x2) - x4) + x1) * x5))) / (x1 * x4)) - x4) - -10.192754) - inv((x3 * x2) * x0))) + inv(x3)"
