Complexity,Loss,Equation
1,0.91490906,"x0"
3,0.80971783,"x0 - x1"
4,0.5550165,"x0 - square(x4)"
5,0.43169576,"x0 - exp(sqrt(x4))"
6,0.22977413,"x0 - (x4 * sqrt(x1))"
7,0.2297741,"x0 - (x4 / inv(sqrt(x1)))"
8,0.19272727,"24874.248 - (x1 * x4)"
9,0.15317304,"1113.7864 - (x4 * sqrt(x1))"
11,0.15118767,"(x4 + 1006.597) - (sqrt(x1) * x4)"
12,0.1503212,"(1132.2507 - (sqrt(x1) * x4)) - sqrt(x1)"
13,0.14435673,"1318.1338 - (sqrt(x1) * (inv(sqrt(x2)) + x4))"
15,0.124901466,"(inv(sqrt(x1)) * 1757.5406) - (x4 + inv(x2 + x3))"
17,0.111145355,"(sqrt(inv(x1)) * 2845.7734) - ((x4 + x4) + inv(x2 + x3))"
19,0.105683826,"(inv(sqrt(x1)) * 1746.9889) - (inv((x2 + inv(square(x4))) + x3) + x4)"
21,0.101087295,"((sqrt(inv(x1)) * 1742.209) - (x4 + inv((x2 + inv(square(x4))) + x3))) / x3"
23,0.09674738,"(((inv(sqrt(x1)) * 1763.287) - (x4 + inv(inv(square(x4)) + (x3 + x2)))) / x3) - x4"
25,0.096727274,"((((sqrt(inv(x1)) * 1763.287) - (x4 + inv((inv(square(x4)) + x2) + x3))) / x3) - x4) * x0"
28,0.096,"((((inv(sqrt(x1)) * 1760.9005) - ((x3 / x3) / ((x3 + inv(square(x4))) + x2))) - x4) / square(x2)) - square(x4)"
30,0.09236363,"((((sqrt(inv(x1)) * 1746.0973) - ((x3 / x3) / (x3 + (square(inv(x4)) + x2)))) - x4) / square(x3 - x2)) - square(x4)"
31,0.09095792,"((((sqrt(inv(x1)) * 1790.6038) - ((x3 / x3) / (square(inv(x4)) + (x3 + x2)))) - x4) / (exp(x4 * x2) * x3)) - x4"
33,0.08584552,"((((inv(sqrt(x1)) * 1809.6748) - ((x3 / x3) / (x2 + (x3 + inv(square(x4)))))) - x4) / (square(exp(x4 * x2)) * x3)) - sqrt(x0)"
35,0.08290909,"((((sqrt(inv(x1)) * 1814.1608) - ((x3 / x3) / (x3 + (x2 + inv(square(x4)))))) - x4) / square(exp(x2 * x4) * x3)) - (sqrt(x0) / x2)"
37,0.08218182,"x4 + (((((inv(sqrt(x1)) * 1820.7098) - ((x3 / x3) / ((inv(square(x4)) + x2) + x3))) - x4) / square(exp(x2 * x4) * x3)) - (sqrt(x0) / x2))"
45,0.0821798,"(((((((((inv(sqrt(x1)) * 1820.7888) - ((x3 / x3) / ((x3 + x2) + inv(square(x4))))) - x4) / square(x3 * exp(x2 * x4))) + x4) - (sqrt(x0) / x2)) * x1) * x2) - x4) / x4"
46,0.082172275,"(((((((inv(sqrt(x1)) * 1820.6715) - ((x3 / x3) / ((x2 + square(inv(x4))) + x3))) - x4) / square(x3 * exp(x4 * x2))) + (x4 - (sqrt(x0) / x2))) * (x1 * x2)) - inv(x2)) / x4"
47,0.081454545,"(((x1 * (((((sqrt(inv(x1)) * 1820.5566) - ((x3 / x3) / ((square(inv(x4)) + x3) + x2))) - x4) / square(x3 * exp(x2 * x4))) + (x4 - (sqrt(x0) / x2)))) * x2) - (x4 + x4)) - x4"
