Complexity,Loss,Equation
1,0.92945457,"x0"
3,0.5863354,"x3 - x0"
5,0.4776614,"x3 - exp(sqrt(x2))"
6,0.41218802,"48.23609 - x2"
7,0.4058401,"(x3 - exp(sqrt(x2))) + x3"
8,0.25258163,"square(x0 / x2) + (x3 - x0)"
9,0.13710485,"square(x3 / x2) - (x0 / sqrt(x2))"
11,0.13628285,"square((x3 / x2) + x1) - (x0 / sqrt(x2))"
12,0.1269297,"(square((x3 + sqrt(x3)) / x2) * sqrt(x2)) - x0"
13,0.1180041,"square(((x3 + x3) / x2) + 5.329592) - x0"
15,0.11636364,"(square(((x3 + x3) / x2) + 5.307694) - x0) * x2"
17,0.11196844,"square((((x3 + x3) + (x1 * x0)) / x2) + 5.29967) - x0"
19,0.11054546,"(square((((x3 + x3) + (x1 * x0)) / x2) + 5.29967) - x0) * x0"
20,0.10992119,"((sqrt(x2) * ((x3 * 0.07376049) - (x0 * 0.19424975))) + x0) - x2"
22,0.108363636,"((x0 - x2) + (sqrt(x2) * ((x3 * 0.07374284) - (x0 * 0.19418877)))) * x3"
25,0.10780836,"(x3 * (((((inv(x0 + x2) * x3) * 0.082644805) - 0.21021192) * sqrt(x2)) + x1)) + x3"
27,0.104727276,"((x3 * ((((inv(x0 + x2) * (x3 * 0.082644805)) - 0.21021192) * sqrt(x2)) + x1)) + x3) * x3"
34,0.10327273,"x3 + (inv(x1) * ((((sqrt(x2) * ((x3 * (inv(x2 + x0) * 0.08250199)) - 0.21021079)) * x3) + x3) - (x2 / (x3 - x0))))"
37,0.10327169,"((inv(x1) * (((x3 * (sqrt(x2) * ((x3 * (inv(x2 + x0) * 0.08250199)) - 0.21021079))) + x3) - (x2 / (x3 - x0)))) + x3) / sqrt(x2)"
38,0.100363635,"(x3 - inv(x1 + (x0 / (x2 - square(x2))))) + (inv(x1) * ((((((inv(x0 + x2) * x3) * 0.08250199) - 0.21021079) * x3) * sqrt(x2)) + x3))"
42,0.09890909,"(x3 - (x3 / square(x3 + ((x3 / 1.1627369) - x0)))) + (((x3 * (sqrt(x2) * (((inv(x2 + x0) * 0.08250199) * x3) - 0.21021079))) + x3) * inv(x1))"
