Complexity,Loss,Equation
1,0.92145455,"x0"
4,0.7060222,"inv(x1) - x2"
5,0.55737484,"x0 - exp(sqrt(x2))"
6,0.39851987,"48.196453 - x2"
7,0.39345437,"2332.522 - square(x2)"
8,0.19781817,"25804.314 - (x2 * x0)"
9,0.1570909,"1.2413448e6 - (square(x2) * x0)"
11,0.15636364,"1.2662999e6 - (x0 * (square(x2) + x2))"
12,0.15563151,"square((exp(x1) * -1098.7859) / x2) - x0"
13,0.15468113,"square(1015.4458 / x2) - (x0 / exp(sqrt(x1)))"
14,0.152,"1.2662999e6 - (x0 * ((inv(x1) - x2) + square(x2)))"
16,0.15054545,"((square(1003.54956 / x2) - x0) / sqrt(x1)) + (x0 + x2)"
17,0.14981818,"x0 + ((sqrt(x2) + (square(1003.54956 / x2) - x0)) / sqrt(x1))"
18,0.14669538,"(exp(sqrt(x1)) * square((-970.5034 / x2) - 1.3524463)) - x0"
20,0.14545454,"(square(1.6837683 - ((square(exp(x1)) * -983.2082) / x2)) - x0) * x0"
26,0.14472727,"((square((square(exp(x1)) * (-983.2082 / x2)) - 1.6837683) - x0) * x0) - inv(x2 * square(x1))"
29,0.1428981,"(square((x0 - x2) + 3.3607128) - x1) * (square((2.097796 - (-970.5315 / x2)) * exp(x1)) - x0)"
30,0.14171956,"(x0 * (x1 * (square(1.6843615 - ((-983.20764 / x2) * square(exp(x1)))) - x0))) - square(x2 / (inv(x1) - x0))"
31,0.13944338,"((square((-983.1805 * (square(exp(x1)) / x2)) - 1.677053) - x0) * 1.8456028) - square(x2 / (inv(x1) - x0))"
33,0.13818182,"x0 * ((square(1.6837683 - (-983.2082 * (square(exp(x1)) / x2))) - x0) - square((0.76707774 * x2) / (inv(x1) - x0)))"
