Complexity,Loss,Equation
1,0.9170909,"25.30018"
3,0.39971337,"48.27065 - x3"
4,0.399205,"cube(48.408222 - x3)"
5,0.3932946,"x0 / (47.332115 - x3)"
6,0.19442059,"cube(x4 / x3) - x0"
7,0.16264778,"((x3 * -0.017119149) * x0) + x4"
8,0.15912618,"cube(x4 / x3) - (x0 + -95.83909)"
9,0.12647006,"sqrt(x4 / cube(x3 / x4)) - x0"
10,0.11233565,"(x4 + cube(x4 / x3)) - (x0 / 0.4890353)"
11,0.11140256,"(sqrt(x4 / cube(x3 / x4)) - x0) - -45.358185"
12,0.11056916,"cube(x4 / x3) - ((x0 - x4) + (x0 + 12.652608))"
13,0.10481618,"(x4 * square(((x4 / x0) * -2.041287) - 0.75393355)) - square(x3)"
14,0.104727626,"cube((square(0.75393355 - ((x4 * -2.041287) / x0)) * x4) - square(x3))"
15,0.104727276,"((square(0.75393355 - ((x4 * -2.041287) / x0)) * x4) - square(x3)) / x1"
16,0.09890909,"(x4 * square(0.772519 - ((log(0.15538947 - x1) * x4) / x0))) - square(x3)"
18,0.09678231,"(x4 * square((x1 + 0.693948) - (log(0.14284039 - x1) * (x4 / x0)))) - square(x3)"
19,0.096727274,"cube((square((0.6938727 + x1) - (x4 * (log(0.14290096 - x1) / x0))) * x4) - square(x3))"
20,0.096285775,"((square(x2 + (0.6939597 - ((x4 * log(0.14276475 - x1)) / x0))) + x1) * x4) - square(x3)"
21,0.0901541,"(square(((log(0.14165494 - x1) * x4) / x0) - 0.71140254) * x4) - square(sin(x3 * -1.5071868) - x3)"
22,0.0894537,"(square((log(0.14165494 - x1) * (x4 / x0)) - 0.71140254) * x4) - square(sin(sin(x3 * -1.5071868)) - x3)"
23,0.08820788,"(x4 * square((((x1 - log(0.14257196 - x1)) * x4) / x0) + 0.69062984)) - square(x3 - sin(x0 * 1.5009103))"
24,0.08808385,"cube((square((((x1 - log(0.14257196 - x1)) * x4) / x0) + 0.69062984) * x4) - square(x3 - sin(1.5009103 * x0)))"
25,0.088,"((x4 * square((((x1 - log(0.14256205 - x1)) / x0) * x4) + 0.69063526)) - square(sin(x0 * 1.5008804) - x3)) * x0"
26,0.08442303,"((x4 + tan(1.1204616 - x0)) * square(0.6906329 - (log(0.14253923 - x1) * (x4 / x0)))) - square(x3 - sin(x0 * 1.5011559))"
27,0.084365144,"cube(((x4 + tan(1.1204616 - x0)) * square(0.6906329 - (log(0.14253923 - x1) * (x4 / x0)))) - square(x3 - sin(x0 * 1.5011559)))"
28,0.0837487,"((x4 + tan(1.1204602 - x0)) * square((((x1 - log(0.14257196 - x1)) * x4) / x0) + 0.69062984)) - square(x3 - sin(x0 * 1.5009103))"
30,0.08226788,"((x4 - tan((x3 - x0) * 0.406047)) * square(((x1 - log(0.14256178 - x1)) * (x4 / x0)) + 0.69063514)) - square(sin(x0 * 1.5008837) - x3)"
31,0.08218182,"cube(((tan(1.1204602 - x0) + x4) * square(0.6906352 + ((x1 - log(0.14256394 - x1)) * (x4 / x0)))) - square(sin(x0 * 1.501069) - x3)) - x0"
32,0.08145617,"(square((x4 * ((x1 - log(0.14256018 - x1)) / x0)) + 0.69063807) * (x4 - tan((x3 - x0) * 0.40605322))) - square(sin((x0 - 0.036190487) * 1.501042) - x3)"
33,0.08145181,"((x4 - tan(0.40605322 * (x3 - x0))) * square(0.69063807 + ((x1 - log(0.14256018 - x1)) * (x4 / x0)))) - (square(x3 - sin(x0 * 1.501042)) - log(x2))"
34,0.08127183,"((square(((x1 - log(0.14256018 - x1)) * (x4 / x0)) + 0.69063807) * (x4 - tan((x3 - x0) * 0.40605322))) - square(sin(x0 * 1.501042) - x3)) - sqrt(inv(x1))"
35,0.07636669,"(square((((x1 - log(0.14256477 - x1)) * x4) / x0) + 0.69063276) * ((tan(1.1204607 - x0) + x4) - tan((x3 - x0) * 0.40605563))) - square(x3 - sin(x0 * 1.5010821))"
36,0.07636364,"cube((((tan(1.1204602 - x0) + x4) - tan((x3 - x0) * 0.40605408)) * square((((x1 - log(0.14256394 - x1)) * x4) / x0) + 0.6906352)) - square(x3 - sin(x0 * 1.501069)))"
39,0.07566829,"(((x4 - tan((x3 - x0) * 0.40603456)) - tan((x0 + x0) - 0.04653352)) * square((x4 * ((x1 - log(0.1425806 - x1)) / x0)) + 0.6906197)) - (square(sin(1.5011082 * x0) - x3) - -5.7690344)"
40,0.075636365,"(((((x4 + tan(1.1204602 - x0)) - tan(0.40605408 * (x3 - x0))) + sin(x3)) * square(0.6906352 + ((7.050006 - (log(0.14256394 - x1) * x4)) / x0))) - square(x3 - sin(x0 * x3))) * x4"
41,0.07508354,"((square((((x1 - log(0.14258057 - x1)) * x4) / x0) + 0.6906197) * ((x4 - tan((x3 - x0) * 0.40603444)) - tan(x0 + (x0 - 0.04653342)))) - square(sin((x0 + x1) * 1.5011084) - x3)) + -7.7261496"
