Complexity,Loss,Equation
1,0.91999984,"5.3432612"
3,0.42395446,"50.488697 - x4"
4,0.42293236,"cube(49.510937 - x4)"
5,0.4174541,"(50.42106 - x4) * x1"
6,0.19747825,"cube(x5 / x4) - x1"
7,0.16114207,"((x5 * 55.23923) / x4) - x1"
8,0.16039303,"cube(((x5 / x4) * 55.265926) - x1)"
9,0.10685891,"(((x5 / x4) + -2.3169494) * 93.221176) - x1"
10,0.106037565,"cube((((x5 / x4) + -2.3173048) * 93.25331) - x1)"
11,0.104727276,"((((x5 / x4) + -2.328393) * 93.48735) - x1) * x5"
13,0.101951264,"(((x5 / x4) + -2.31177) * 93.03819) + (tan(tan(x1)) - x1)"
14,0.09995589,"(-2.300422 / sin(x0)) + (((-2.3173048 + (x5 / x4)) * 93.25331) - x1)"
15,0.0993626,"(tan(square(tan(tan(x5)))) + (((x5 / x4) + -2.3441288) * 93.783905)) - x1"
16,0.09756635,"(((((x5 * 89.12437) / x4) - x1) - tan(x0)) / 0.031558886) + (x0 * -6.6186934)"
17,0.09748526,"cube((-6.618693 * x0) + ((((89.12437 * (x5 / x4)) - x1) - tan(x0)) / 0.031558923))"
18,0.09236363,"(x0 * -6.6179676) + ((tan(0.033856053 - x0) + ((x5 * (89.12446 / x4)) - x1)) / 0.031750306)"
20,0.08872727,"((tan(-2.7024345 + (x1 + x1)) + (((x5 / x4) * 89.12437) - x1)) / 0.031156847) + (x0 * -6.6187468)"
23,0.087272726,"((x0 + tan(x4)) * -6.6188006) + (((tan(x1 + (x1 + -2.7021484)) + ((89.12437 * x5) / x4)) - x1) / 0.031229699)"
24,0.08436364,"(x0 * -6.6187406) + ((((((x5 * 89.124374) / x4) - x1) + tan((x1 + x1) + -2.70202)) - tan(inv(x3))) / 0.03130801)"
25,0.079279706,"((((((x5 + tan(-1.5350263 - x1)) * 89.12437) / x4) - x1) + tan((x1 + -2.702434) + x1)) / 0.031251755) + (x0 * -6.9722238)"
26,0.079272725,"cube((((((tan(-1.5350264 - x1) + x5) * 89.12437) / x4) + (tan(x1 + (-2.7020354 + x1)) - x1)) / 0.031252254) + (x0 * -6.9721603))"
30,0.075636365,"((((x5 * (89.12437 / x4)) + ((tan(x4 * 0.8525967) - x1) + tan((x1 + -2.7021017) + x1))) + tan(1.6174612 - x1)) / 0.031400423) + (x0 * -6.618796)"
31,0.07490909,"(x0 * -6.6188006) + ((tan(x1 + (-2.7021484 + x1)) + (((((x5 * 89.12437) / x4) + tan(sqrt(x4) * -1.706121)) - x1) + tan(-1.5350609 - x1))) / 0.031229699)"
33,0.07418182,"(((((((x5 * 89.12437) / x4) + tan(sqrt(x4) * -1.706121)) - x1) + tan(-1.5350609 - x1)) + tan(x1 + (x1 + -2.7021484))) / 0.031229699) + ((x0 - 4.062532) * -6.6188006)"
34,0.073454544,"((tan(x0) + x0) * -6.6188006) + ((((tan(x1 + (x1 + -2.7021484)) + tan(-1.5350609 - x1)) + (89.12437 * (x5 / x4))) + (tan(sqrt(x4) * -1.706121) - x1)) / 0.031229699)"
36,0.07272728,"(((x0 * x3) + x0) * -6.6188006) + ((tan((x1 + x1) + -2.7021484) + ((tan(-1.5350609 - tan(x1)) + ((89.12437 * x5) / x4)) + (tan(sqrt(x4) * -1.706121) - x1))) / 0.031229699)"
37,0.07127273,"cube(((x0 * -6.6188006) - (x1 * sin(x4))) + (((89.12437 * (x5 / x4)) + (tan(x1 + (-2.7018905 + x1)) + (tan(-1.5349653 - x1) + (tan(sqrt(x4) * -1.705992) - x1)))) / 0.0318166))"
42,0.07054539,"(((tan(1.608712 - x1) + ((x5 / x4) * 89.12437)) + (tan(x1 + (x1 + -2.7018864)) + (tan(sqrt(x4) * -1.7059879) - x1))) / 0.031820253) + ((x0 * -6.6188) - (-6.6188 * (x5 / (x4 * cos(-1.1419563 - x4)))))"
43,0.06909091,"(((tan(x1 + (-2.7018905 + x1)) + ((tan(-1.5349653 - x1) + ((x5 / x4) * 89.12437)) + (tan(sqrt(x4) * -1.705992) - x1))) / 0.0318166) + (x0 * -6.6188006)) - ((log(x2) * x1) / (cos(x4 - -1.1419563) * 55.35788))"
46,0.069074,"((x0 * -6.6187973) + ((((tan(1.6087322 - x1) + ((x5 * (89.12437 / x4)) + tan((x1 + -2.701831) + x1))) + tan(sqrt(x4) * -1.7059656)) - (x1 - -1.1788553)) / 0.03185376)) - ((x5 * -6.6188) / ((cos(1.159543 - x4) * x1) + 0.27285513))"
47,0.0690073,"cube(((x0 * -6.6187973) + (((((tan(1.6087322 - x1) - 1.1523622) + ((89.12437 / x4) * x5)) + tan(x1 + (x1 + -2.701831))) + (tan(sqrt(x4) * -1.7059656) - x1)) / 0.03185376)) - ((x5 * -6.6188) / ((x1 * cos(x4 - 1.159543)) + 0.18007162)))"
48,0.0683661,"((((((x5 * (89.12437 / x4)) + tan(1.6087322 - x1)) + ((tan(x1 + (x1 + -2.701831)) + (tan(sqrt(x4) * -1.7059656) - x1)) + -1.1766928)) / 0.03185376) - (x5 * (-6.6188 / (0.27285513 + (x1 * cos(x4 - 1.159543)))))) + (x0 * -6.6187973)) / x3"
49,0.06836364,"(((((((x5 * 89.12437) / x4) + tan(1.6087322 - tan(x1))) + ((tan(x1 + (x1 + -2.701831)) + (tan(sqrt(x4) * -1.7059656) - x1)) + -1.1766928)) / 0.03185376) - (x5 * (-6.6188 / ((x1 * cos(1.159543 - x4)) + 0.27285513)))) + (x0 * -6.6187973)) / 0.088342756"
