Complexity,Loss,Equation
1,0.9309091,"x0"
3,0.559864,"x3 - x0"
5,0.49050292,"x3 - exp(sqrt(x2))"
6,0.4162484,"48.561707 - x2"
7,0.41236365,"(x3 - exp(sqrt(x2))) + x3"
8,0.24749476,"(square(x0 / x2) + x3) - x0"
9,0.135767,"x3 - sqrt(x0 * (sqrt(x2) * x2))"
10,0.13576698,"x3 - sqrt(x0 * sqrt(square(x2) * x2))"
11,0.13109484,"x3 - sqrt((x3 + (x0 * x2)) * sqrt(x2))"
12,0.12333545,"x3 - sqrt(x2 * ((x0 * sqrt(x2)) + inv(x1)))"
14,0.122429,"x3 - (((x0 + (x2 + x2)) * 0.012563812) * x2)"
15,0.112275645,"(x3 - x2) - (((x2 * 0.01814314) - sqrt(x1)) * x0)"
17,0.10981818,"x0 * ((x3 - x2) - (x0 * ((0.018367428 * x2) - sqrt(x1))))"
19,0.10913998,"(((x3 - x2) - (x0 * (x2 * 0.015954075))) / sqrt(x1)) + (x0 - x3)"
20,0.10760942,"x0 + ((x3 - (x2 * (x0 * 0.024187421))) / (sqrt(x1) + 0.16210808))"
22,0.10473087,"((x3 - ((0.022905258 * x2) * x0)) / (sqrt(x1) + 0.13276428)) + (x0 - x2)"
24,0.104,"x0 * ((x0 - x2) + ((x3 - (x2 * (x0 * 0.022864344))) / (0.13271978 + sqrt(x1))))"
32,0.10327273,"((x0 + (((x3 - x2) - (x2 * (0.018363984 * x0))) / sqrt(x1))) / x1) - ((x0 / x3) / (x1 - (0.804932 / x2)))"
34,0.102545455,"(((((x3 - x2) - ((x2 * x0) * 0.018363984)) / sqrt(x1)) + x0) / x1) - (x0 / ((x3 * (x1 - (0.804932 / x2))) + x1))"
37,0.10109091,"(((((x3 - x2) - (x2 * (0.018363984 * x0))) / sqrt(x1)) + (x0 + x2)) / x1) - (square(x2) + ((x0 / x3) / (x1 - (0.804932 / x2))))"
42,0.100363635,"(((((x3 - x2) - (x2 * (0.018363984 * x0))) / sqrt(x1)) + (x0 + x2)) / x1) - (square(x2) + ((x0 / x3) / (x1 - (0.804932 / (x2 + 0.11726203)))))"
