Complexity,Loss,Equation
1,0.24880466,"0.5345783"
4,0.16861778,"exp(x1 * -0.014299695)"
5,0.15967302,"(x1 * -0.010793031) + 1.0999433"
6,0.102243446,"exp(x1 * (x0 * -3.3406053e-5))"
8,0.08996122,"exp(x0 * (-4.6998648e-5 * x1)) / 0.78290737"
9,0.07710236,"sin(exp(((x1 * x0) * -6.4467116e-5) - -0.77898824))"
10,0.077096924,"sin(exp((x1 * sin(x0 * -6.4467116e-5)) - -0.77898824))"
11,0.07368707,"sin(exp((((x1 + x0) * -5.5407996e-5) * x1) - -0.7894836))"
13,0.06994136,"sin(exp(((x0 + x1) * (x1 * -4.6998648e-5)) + 0.86888856) + -0.17422159)"
15,0.06898076,"sin(exp(((x1 + x0) * (x1 * -4.6998648e-5)) + 0.86888856) + -0.21292241) - -0.052221425"
17,0.06842796,"(sin(sin(sin(x1 * -0.018198136) / inv((x1 * 2.5153911e-5) * x0))) * 1.4382312) + 1.1010073"
19,0.06837802,"(1.4357398 * sin(sin(sin(x1 * -0.018189276) / inv((2.5218249e-5 * (-2.3763196 + x0)) * x1)))) + 1.1001046"
20,0.06825077,"(sin(sin(sin(x1 * -0.018198136) / inv((x0 * 2.5153911e-5) * (x1 + cos(x1))))) * 1.4382312) + 1.1010073"
